name,base_choices,description,extra_choices,order_alphabetically
SNMP Versions,,SNMP Version for monitoring the device,"1, 2, 3",true
zabbix_interface_type,,Zabbix Interface Type to use to connect to this device,"Agent, IPMI, JMX, SNMP",true
